Year,Pax Carried,Fatalities per million passengers,Fatal accidents per million commercial flights
1970,310441400,4.767405,6.4561877
1971,331604900,4.4299707,4.945026
1973,401571800,5.652787,6.246864
1974,421145200,5.0101485,6.2669506
1975,432276500,2.671901,4.759484
1976,471773400,3.6415787,5.437681
1977,513269280,3.3354812,5.244103
1978,576090000,2.1437624,4.0260415
1979,648400600,2.6974065,5.162671
1980,641872900,2.0736194,3.0827005
1981,640619400,1.3440118,3.7000613
1982,654482100,1.744891,3.0960352
1983,685101600,1.9646722,2.974337
1984,732410300,0.8724618,2.630656
1985,783198100,3.091172,3.2778895
1986,842594300,1.0645692,2.9975545
1987,904838100,1.4544039,3.2465572
1988,953896000,1.7926482,3.8902376
1989,983208800,1.8022621,3.8513384
1990,1024976640,0.7122114,2.879888
1991,1133228200,1.0130352,3.4120424
1992,1145436700,1.2754961,3.1503875
1993,1142265200,1.0645514,2.68982
1994,1233233400,1.1571208,2.7876346
1995,1302891600,0.9079803,2.7209826
1996,1390963700,1.3839326,2.5852609
1997,1455104300,0.8521726,1.8929123
1998,1466961800,0.90663576,2.391468
1999,1562256300,0.4416689,2.1218522
2000,1674064800,0.68037987,1.6811565
2001,1655230200,0.6796638,1.6169442
2002,1627404900,0.658103,1.5852133
2003,1665309300,0.3999257,1.2216543
2004,1888695300,0.28644112,1.3472201
2005,1969590800,0.536152,1.4040471
2006,2072414000,0.42510813,0.96659666
2007,2209136400,0.34945783,1.153136
2008,2208218600,0.24997525,1.0196842
2009,2249728500,0.3222611,0.8804662
2010,2669414400,0.31130424,0.8933867
2011,2833214000,0.18036054,1.0255191
2012,2943248000,0.14168021,0.54080665
2013,3100200700,0.0825753,0.71516263
2014,3285080800,0.29253465,0.5450132
2015,3525115100,0.15233545,0.2938533
2016,3760774400,0.080568515,0.45277408
2017,4025616100,0.010930004,0.2754862
2018,4293921500,0.12925248,0.37427512
2019,4455690000,0.06396315,0.5251697
2020,1771894100,0.17777586,0.39803416
2021,2279974700,0.053947967,0.4572932
